product_code,quantity_sold,sale_value,date
SKU00097,80,5.97,2025-03-08
SKU00098,82,43.3,2025-01-08
SKU00099,53,404.01,2025-03-10
SKU00100,24,385.97,2024-07-05
SKU00101,26,457.65,2025-01-24
SKU00102,89,427.4,2024-08-05
SKU00103,60,341.9,2024-04-17
SKU00104,41,27.11,2025-07-03
SKU00105,29,391.64,2024-12-14
SKU00106,15,422.91,2025-06-05
SKU00107,45,399.74,2024-01-26
SKU00108,65,254.73,2024-02-17
SKU00109,89,117.22,2025-01-04
SKU00110,71,422.82,2024-01-14
SKU00111,9,363.85,2025-09-03
SKU00112,88,490.4,2024-07-05
SKU00113,1,78.69,2025-06-07
SKU00114,8,113.61,2024-10-05
SKU00115,88,106.69,2024-12-06
SKU00116,63,396.48,2024-11-23
SKU00117,11,94.27,2025-11-09
SKU00118,81,34.26,2025-09-25
SKU00119,8,499.28,2025-08-29
SKU00120,35,13.38,2024-01-25
SKU00121,35,417.79,2025-06-12
SKU00122,33,183.32,2025-03-01
SKU00123,5,420.97,2024-01-29
SKU00124,41,277.76,2024-11-18
SKU00125,28,450.91,2024-11-08
SKU00126,7,463.17,2025-08-06
SKU00127,73,5.54,2024-09-26
SKU00128,72,38.63,2024-10-21
SKU00129,12,125.93,2025-10-17
SKU00130,34,334.99,2024-08-10
SKU00131,33,444.25,2024-03-15
SKU00132,48,230.51,2024-04-11
SKU00133,23,303.88,2025-06-15
SKU00134,62,95.06,2025-09-20
SKU00135,88,402.68,2025-11-16
SKU00136,37,483.7,2024-06-21
SKU00137,99,135.03,2024-01-04
SKU00138,44,247.92,2025-04-23
SKU00139,86,43.97,2025-10-21
SKU00140,91,280.01,2025-01-29
SKU00141,35,251.89,2025-09-17
SKU00142,65,73.07,2024-06-15
SKU00143,99,221.59,2024-10-26
SKU00144,47,167.72,2024-04-27
SKU00145,78,261.39,2025-05-26
SKU00146,3,293.24,2025-09-03
SKU00147,1,5.24,2024-06-23
SKU00148,5,380.74,2024-06-07
SKU00149,90,356.79,2025-01-18
SKU00150,14,183.78,2024-08-14
SKU00151,27,27.42,2024-02-07
SKU00152,9,377.71,2025-04-07
SKU00153,79,477.63,2025-03-06
SKU00154,15,120.84,2025-10-09
SKU00155,90,162.44,2024-04-13
SKU00156,42,92.72,2024-07-11
SKU00157,77,288.89,2024-09-06
SKU00158,51,78.27,2024-01-13
SKU00159,63,178.74,2025-07-20
SKU00160,96,348.81,2025-08-19
SKU00161,52,280.5,2025-09-12
SKU00162,96,193.84,2025-07-08
SKU00163,4,210.7,2025-01-22
SKU00164,94,281.49,2024-03-11
SKU00165,23,3.93,2025-07-24
SKU00166,15,40.18,2025-03-13
SKU00167,43,440.75,2024-02-13
SKU00168,29,39.86,2024-09-28
SKU00169,36,353.69,2024-01-14
SKU00170,13,460.1,2025-01-05
SKU00171,32,136.07,2024-04-21
SKU00172,71,185.88,2025-01-13
SKU00173,59,284.89,2024-11-09
SKU00174,86,440.97,2025-02-18
SKU00175,28,471.01,2025-04-29
SKU00176,66,370.04,2024-06-17
SKU00177,42,44.22,2024-09-02
SKU00178,45,334.91,2024-09-22
SKU00179,62,205.74,2024-08-30
SKU00180,57,235.88,2025-10-31
SKU00181,6,25.53,2024-10-26
SKU00182,28,96.34,2024-11-22
SKU00183,28,395.47,2025-06-13
SKU00184,44,227.53,2025-08-17
SKU00185,84,151.53,2024-12-07
SKU00186,30,192.63,2025-11-09
SKU00187,62,427.35,2025-07-07
SKU00188,75,374.75,2024-09-05
SKU00189,92,136.89,2025-01-14
SKU00190,89,59.63,2025-06-15
SKU00191,62,126.75,2025-01-15
SKU00192,97,460.46,2024-02-11
SKU00193,1,291.21,2024-12-10
SKU00194,27,267.21,2025-08-21
SKU00195,62,298.6,2024-09-17
SKU00196,77,183.65,2024-11-01
SKU00197,3,403.75,2024-08-27
SKU00198,70,262.12,2025-11-09
SKU00199,72,59.26,2024-11-08
SKU00200,27,65.4,2025-03-16
SKU00201,9,268.89,2024-05-12
SKU00202,62,468.35,2024-02-20
SKU00203,37,154.87,2025-09-09
SKU00204,97,434.9,2025-01-26
SKU00205,51,382.28,2025-06-06
SKU00206,44,124.66,2025-05-22
SKU00207,24,19.13,2025-10-23
SKU00208,79,51.82,2024-12-19
SKU00209,59,364.52,2025-01-29
SKU00210,32,100.64,2024-04-05
SKU00211,96,186.26,2024-04-15
SKU00212,88,251.35,2025-10-16
SKU00213,52,363.01,2025-11-08
SKU00214,62,57.5,2025-05-27
SKU00215,58,203.78,2025-07-11
SKU00216,52,243.05,2024-08-29
SKU00217,12,270.87,2025-05-02
SKU00218,39,409.36,2025-05-29
SKU00219,2,86.67,2025-10-15
SKU00220,3,404.11,2024-03-01
SKU00221,56,346.75,2025-02-19
SKU00222,81,278.38,2024-10-20
SKU00223,59,350.06,2024-10-28
SKU00224,2,206.6,2024-06-18
SKU00225,2,70.06,2025-10-07
SKU00226,92,333.22,2024-02-10
SKU00227,54,262.81,2024-08-18
SKU00228,87,320.05,2025-02-12
SKU00229,96,169.66,2025-10-12
SKU00230,97,453.53,2025-09-13
SKU00231,1,294.1,2024-10-23
SKU00232,19,43.62,2025-03-30
SKU00233,2,225.45,2024-02-26
SKU00234,53,378.42,2025-09-26
SKU00235,44,397.27,2024-08-27
SKU00236,90,247.8,2025-08-20
SKU00237,32,447.48,2024-06-24
SKU00238,70,134.57,2024-03-03
SKU00239,32,205.89,2025-07-04
SKU00240,68,449.4,2024-05-17
SKU00241,55,448.23,2025-03-29
SKU00242,75,343.17,2025-03-24
SKU00243,56,429.63,2024-08-13
SKU00244,17,45.3,2025-03-18
SKU00245,38,432.63,2024-07-24
SKU00246,24,160.99,2025-11-06
SKU00247,69,89.99,2024-01-27
SKU00248,98,120.45,2025-04-01
SKU00249,70,209.57,2024-04-16
SKU00250,86,126.34,2025-03-19
SKU00251,11,160.96,2024-02-05
SKU00252,16,68.35,2025-08-19
SKU00253,97,148.79,2024-06-03
SKU00254,73,286.57,2024-06-17
SKU00255,59,221.49,2024-09-28
SKU00256,70,174.01,2025-06-30
SKU00257,80,373.48,2025-02-23
SKU00258,93,446.86,2024-07-02
SKU00259,3,378.64,2025-09-02
SKU00260,20,166.67,2024-08-24
SKU00261,59,372.48,2025-05-23
SKU00262,36,76.84,2025-03-16
SKU00263,19,66.03,2024-05-01
SKU00264,90,173.47,2025-02-20
SKU00265,67,404.04,2025-06-18
SKU00266,19,123.93,2025-01-09
SKU00267,20,32.56,2025-07-28
SKU00268,96,66.72,2024-11-21
SKU00269,71,429.51,2025-04-24
SKU00270,52,317.26,2024-05-29
SKU00271,33,127.35,2025-08-14
SKU00272,40,278.09,2025-05-04
SKU00273,39,264.26,2024-06-01
SKU00274,82,328.06,2024-01-17
SKU00275,1,117.36,2025-07-04
SKU00276,11,432.34,2024-12-13
SKU00277,92,155.37,2025-04-03
SKU00278,57,347.37,2024-07-20
SKU00279,89,9.05,2025-02-26
SKU00280,50,186.96,2024-10-06
SKU00281,23,176.5,2025-02-25
SKU00282,31,272.2,2025-08-22
SKU00283,94,37.3,2025-04-09
SKU00284,42,395.28,2024-12-20
SKU00285,99,109.67,2025-08-04
SKU00286,7,338.84,2025-01-12
SKU00287,16,401.8,2024-05-03
SKU00288,90,281.38,2024-03-20
SKU00289,60,370.7,2025-07-10
SKU00290,2,331.27,2024-08-20
SKU00291,1,178.41,2025-04-24
SKU00292,48,404.62,2024-06-02
SKU00293,12,148.06,2025-02-12
SKU00294,69,286.04,2024-01-31
SKU00295,37,372.95,2025-08-19
SKU00296,32,190.1,2025-07-10
SKU00297,9,152.08,2025-05-17
SKU00298,99,230.21,2025-01-05
SKU00299,19,409.16,2024-11-18
SKU00300,48,465.03,2024-11-27
SKU00301,80,273.0,2024-08-30
SKU00302,3,331.07,2025-07-05
SKU00303,20,451.73,2025-03-05
SKU00304,24,50.17,2024-06-30
SKU00305,54,116.81,2025-04-17
SKU00306,33,354.74,2025-01-10
SKU00307,24,412.05,2024-03-21
SKU00308,75,428.66,2025-07-03
SKU00309,72,208.14,2025-02-23
SKU00310,36,45.58,2025-04-11
SKU00311,38,219.45,2025-03-03
SKU00312,84,116.14,2024-02-26
SKU00313,99,146.31,2024-11-17
SKU00314,89,386.36,2025-06-25
SKU00315,99,38.69,2025-05-09
SKU00316,25,413.96,2024-09-22
SKU00317,93,214.41,2024-08-14
SKU00318,18,298.44,2024-02-23
SKU00319,82,45.74,2025-08-31
SKU00320,66,169.34,2024-01-04
SKU00321,54,45.76,2025-03-14
SKU00322,35,480.81,2024-11-05
SKU00323,80,403.82,2025-08-25
SKU00324,61,230.36,2024-03-29
SKU00325,41,112.58,2024-11-15
SKU00326,100,466.79,2025-01-09
SKU00327,33,172.95,2025-08-26
SKU00328,68,81.33,2025-05-15
SKU00329,33,282.02,2025-10-23
SKU00330,14,471.94,2024-08-21
SKU00331,21,2.91,2024-12-02
SKU00332,48,119.82,2025-07-24
SKU00333,20,469.29,2024-07-03
SKU00334,8,86.37,2025-03-13
SKU00335,7,57.51,2025-07-09
SKU00336,67,285.52,2024-06-28
SKU00337,17,431.06,2024-03-16
SKU00338,33,239.08,2025-10-17
SKU00339,48,497.29,2025-09-04
SKU00340,76,339.91,2024-09-28
SKU00341,59,37.96,2024-02-24
SKU00342,86,496.42,2024-03-17
SKU00343,22,204.54,2024-10-22
SKU00344,30,144.41,2024-08-06
SKU00345,38,279.38,2024-10-03
SKU00346,51,152.85,2025-07-31
SKU00347,54,44.14,2025-10-09
SKU00348,8,1.71,2024-09-22
SKU00349,27,225.34,2024-02-12
SKU00350,27,418.59,2024-12-26
SKU00351,98,286.59,2024-08-15
SKU00352,21,499.6,2024-08-14
SKU00353,30,144.14,2024-03-03
SKU00354,97,140.95,2024-06-19
SKU00355,28,80.71,2024-11-02
SKU00356,64,82.87,2025-07-21
SKU00357,97,143.31,2025-11-13
SKU00358,69,396.63,2024-02-03
SKU00359,61,452.97,2025-10-03
SKU00360,48,487.57,2024-05-09
SKU00361,19,116.91,2025-01-28
SKU00362,4,440.77,2024-05-30
SKU00363,35,164.8,2025-10-16
SKU00364,64,57.31,2025-09-21
SKU00365,49,435.14,2025-01-18
SKU00366,17,318.42,2024-01-17
SKU00367,44,83.2,2025-08-16
SKU00368,92,215.49,2024-01-14
SKU00369,30,144.34,2024-03-21
SKU00370,93,368.66,2024-07-25
SKU00371,46,227.25,2024-07-22
SKU00372,6,494.65,2025-01-13
SKU00373,99,28.32,2025-06-27
SKU00374,37,178.15,2024-01-23
SKU00375,24,241.47,2025-09-05
SKU00376,93,252.06,2024-06-10
SKU00377,46,158.65,2025-09-01
SKU00378,53,364.89,2024-05-23
SKU00379,95,437.5,2024-04-13
SKU00380,99,469.42,2025-01-16
SKU00381,60,402.74,2025-03-30
SKU00382,97,425.44,2025-02-20
SKU00383,63,275.72,2024-11-19
SKU00384,85,413.12,2024-06-19
SKU00385,32,152.45,2025-07-29
SKU00386,87,199.84,2025-08-05
SKU00387,33,159.14,2024-09-30
SKU00388,67,234.23,2025-03-27
SKU00389,18,143.5,2024-05-04
SKU00390,25,480.84,2025-01-17
SKU00391,95,157.11,2024-11-12
SKU00392,54,49.92,2024-04-16
SKU00393,58,263.88,2025-10-21
SKU00394,67,29.49,2025-04-07
SKU00395,46,56.16,2025-03-05
SKU00396,24,110.48,2024-12-02
SKU00397,32,232.71,2025-05-10
SKU00398,47,217.19,2024-12-27
SKU00399,86,400.05,2025-03-07
SKU00400,23,370.0,2025-11-05
SKU00401,66,213.73,2025-06-03
SKU00402,27,167.52,2025-02-09
SKU00403,2,158.92,2025-01-11
SKU00404,90,387.22,2024-05-31
SKU00405,17,26.98,2024-11-17
SKU00406,33,7.4,2025-08-29
SKU00407,9,397.98,2024-08-01
SKU00408,43,239.1,2025-07-29
SKU00409,48,66.31,2024-03-05
SKU00410,39,118.55,2024-09-26
SKU00411,93,466.32,2025-06-20
SKU00412,42,429.89,2024-04-09
SKU00413,26,355.18,2024-04-14
SKU00414,99,241.63,2024-05-10
SKU00415,50,260.64,2025-01-23
SKU00416,25,487.65,2024-11-16
SKU00417,24,482.92,2025-03-13
SKU00418,13,108.42,2024-01-19
SKU00419,60,405.74,2024-08-12
SKU00420,7,99.42,2025-09-09
SKU00421,57,107.56,2025-07-19
SKU00422,36,338.37,2025-04-04
SKU00423,45,203.1,2025-01-28
SKU00424,20,465.84,2024-08-13
SKU00425,65,45.42,2024-12-25
SKU00426,8,256.25,2025-03-05
SKU00427,16,459.34,2024-01-15
SKU00428,14,452.15,2025-07-13
SKU00429,76,79.11,2025-10-12
SKU00430,87,183.95,2025-06-29
SKU00431,15,309.94,2025-02-17
SKU00432,92,80.54,2024-12-20
SKU00433,98,484.04,2025-04-01
SKU00434,66,457.46,2025-06-14
SKU00435,32,84.31,2024-07-14
SKU00436,87,61.46,2024-04-24
SKU00437,63,43.62,2025-02-20
SKU00438,86,454.81,2024-12-17
SKU00439,51,97.62,2024-03-15
SKU00440,25,208.73,2025-10-23
SKU00441,58,224.98,2024-02-05
SKU00442,63,299.91,2024-08-29
SKU00443,62,36.8,2025-10-24
SKU00444,22,114.15,2024-03-03
SKU00445,58,465.81,2025-10-27
SKU00446,58,454.3,2025-05-23
SKU00447,86,390.86,2024-07-06
SKU00448,49,10.68,2024-04-02
SKU00449,52,164.18,2024-01-05
SKU00450,42,314.35,2025-03-13
SKU00451,70,138.32,2024-06-14
SKU00452,15,454.88,2025-03-21
SKU00453,54,317.31,2024-01-25
SKU00454,60,36.88,2025-05-22
SKU00455,97,454.59,2024-04-07
SKU00456,8,478.93,2024-09-24
SKU00457,53,39.78,2025-10-23
SKU00458,60,266.65,2025-01-27
SKU00459,5,152.38,2025-08-18
SKU00460,68,197.03,2024-10-11
SKU00461,6,90.65,2025-11-14
SKU00462,96,289.46,2024-04-18
SKU00463,94,479.03,2024-01-27
SKU00464,47,252.03,2024-02-24
SKU00465,99,42.37,2024-05-12
SKU00466,55,310.38,2024-02-21
SKU00467,40,170.77,2025-05-07
SKU00468,52,428.11,2024-10-24
SKU00469,16,217.9,2025-02-02
SKU00470,13,97.23,2025-08-13
SKU00471,30,96.36,2024-01-18
SKU00472,19,384.61,2025-09-10
SKU00473,17,133.53,2025-07-12
SKU00474,63,383.85,2024-09-02
SKU00475,19,103.74,2025-05-17
SKU00476,92,161.52,2024-03-29
SKU00477,58,233.28,2024-07-21
SKU00478,55,471.65,2024-08-27
SKU00479,90,465.93,2025-05-04
SKU00480,90,104.23,2024-01-13
SKU00481,62,179.75,2025-10-10
SKU00482,23,75.55,2024-11-10
SKU00483,9,255.48,2025-11-15
SKU00484,12,230.83,2024-07-16
SKU00485,1,450.48,2024-08-30
SKU00486,58,465.07,2025-05-21
SKU00487,1,192.4,2024-02-12
SKU00488,34,246.38,2024-11-25
SKU00489,96,448.22,2025-08-13
SKU00490,48,403.55,2025-03-04
SKU00491,89,2.82,2025-09-04
SKU00492,1,160.71,2024-06-10
SKU00493,16,211.47,2025-10-17
SKU00494,61,115.63,2025-09-12
SKU00495,64,100.59,2025-03-10
SKU00496,63,19.85,2024-08-20
SKU00497,69,322.04,2024-04-20
SKU00498,22,131.99,2024-08-19
SKU00499,93,27.12,2024-09-29
SKU00500,67,116.26,2025-08-20
SKU00501,76,401.16,2024-02-10
SKU00502,26,425.89,2025-07-13
SKU00503,16,242.05,2025-04-10
SKU00504,51,208.62,2024-03-17
SKU00505,86,488.95,2025-05-04
SKU00506,57,101.08,2024-04-26
SKU00507,29,108.46,2025-03-09
SKU00508,78,146.64,2024-01-19
SKU00509,92,87.21,2025-07-24
SKU00510,69,190.3,2024-07-14
SKU00511,47,455.51,2025-09-10
SKU00512,94,308.06,2025-03-26
SKU00513,62,206.56,2025-02-28
SKU00514,69,467.27,2025-01-28
SKU00515,76,25.18,2024-10-10
SKU00516,16,105.93,2024-02-03
SKU00517,90,283.38,2024-10-21
SKU00518,90,308.16,2024-09-07
SKU00519,48,20.74,2025-09-29
SKU00520,85,202.12,2024-12-04
SKU00521,39,324.93,2025-09-09
SKU00522,100,349.34,2025-03-15
SKU00523,33,319.43,2024-06-28
SKU00524,94,160.96,2025-09-13
SKU00525,23,47.67,2024-08-15
SKU00526,10,214.13,2025-09-24
SKU00527,69,65.25,2025-09-10
SKU00528,100,473.86,2025-10-04
SKU00529,34,238.11,2024-01-23
SKU00530,52,159.31,2025-10-18
SKU00531,95,383.39,2024-11-22
SKU00532,10,249.48,2024-06-02
SKU00533,19,155.71,2025-09-10
SKU00534,58,406.17,2024-05-25
SKU00535,96,433.71,2024-09-08
SKU00536,1,336.83,2024-10-28
SKU00537,69,24.44,2024-03-10
SKU00538,4,283.6,2025-06-26
SKU00539,16,381.88,2024-04-02
SKU00540,24,69.12,2025-10-10
SKU00541,80,115.11,2024-06-11
SKU00542,2,441.37,2024-03-21
SKU00543,92,11.04,2025-08-10
SKU00544,32,376.61,2024-03-03
SKU00545,91,237.41,2025-09-03
SKU00546,84,223.94,2025-03-11
SKU00547,24,4.54,2024-02-17
SKU00548,12,409.88,2025-03-20
SKU00549,50,180.55,2024-03-14
SKU00550,35,270.84,2025-06-25
SKU00551,33,338.97,2024-06-05
SKU00552,33,351.61,2025-05-01
SKU00553,61,478.03,2024-09-22
SKU00554,51,266.14,2024-09-12
SKU00555,43,200.46,2024-02-08
SKU00556,12,476.9,2024-02-24
SKU00557,67,321.41,2024-01-28
SKU00558,65,149.78,2024-04-27
SKU00559,33,64.11,2025-01-04
SKU00560,40,421.43,2024-07-27
SKU00561,74,181.73,2025-08-09
SKU00562,43,330.57,2025-07-30
SKU00563,44,235.94,2025-09-03
SKU00564,29,100.27,2025-07-11
SKU00565,13,301.24,2024-11-11
SKU00566,12,31.28,2025-01-27
SKU00567,95,207.26,2025-03-19
SKU00568,46,273.76,2025-10-29
SKU00569,2,218.59,2024-09-15
SKU00570,35,374.59,2025-10-09
SKU00571,87,414.13,2024-07-16
SKU00572,81,385.85,2025-09-19
SKU00573,90,20.37,2025-03-20
SKU00574,8,97.87,2025-07-23
SKU00575,93,268.77,2025-08-04
SKU00576,26,467.48,2025-08-27
SKU00577,74,417.64,2025-10-10
SKU00578,90,421.42,2025-09-08
SKU00579,34,152.3,2024-10-31
SKU00580,7,215.29,2024-12-04
SKU00581,68,235.88,2025-06-12
SKU00582,58,79.53,2024-02-23
SKU00583,75,16.5,2024-04-21
SKU00584,29,473.5,2025-11-14
SKU00585,36,121.12,2025-02-22
SKU00586,89,120.73,2024-10-31
SKU00587,21,42.61,2025-03-13
SKU00588,36,464.33,2025-10-17
SKU00589,10,290.29,2024-03-25
SKU00590,73,333.85,2025-06-07
SKU00591,24,455.88,2024-09-08
SKU00592,64,173.46,2024-05-05
SKU00593,99,311.13,2025-09-01
SKU00594,49,20.36,2025-02-08
SKU00595,99,94.2,2024-10-30
SKU00596,36,415.79,2024-01-28
SKU00597,82,383.62,2024-09-22
SKU00598,96,175.97,2024-02-21
SKU00599,24,189.03,2025-10-16
SKU00600,23,267.24,2025-10-05
SKU00601,62,1.12,2025-05-25
SKU00602,96,121.38,2024-07-25
SKU00603,37,104.91,2025-07-27
SKU00604,12,125.99,2025-05-25
SKU00605,55,403.15,2025-10-05
SKU00606,13,140.56,2025-07-06
SKU00607,23,96.57,2024-07-19
SKU00608,89,252.63,2025-09-02
SKU00609,99,432.96,2024-10-10
SKU00610,30,121.43,2024-12-22
SKU00611,17,40.19,2024-02-16
SKU00612,62,178.85,2024-05-16
SKU00613,84,374.08,2024-05-09
SKU00614,89,275.79,2024-07-13
SKU00615,86,408.58,2025-09-20
SKU00616,13,479.84,2024-12-29
SKU00617,59,396.54,2025-03-07
SKU00618,19,302.3,2024-03-09
SKU00619,49,247.18,2025-04-02
SKU00620,100,20.99,2025-06-23
SKU00621,12,492.18,2024-11-30
SKU00622,61,192.36,2025-06-09
SKU00623,19,76.96,2025-07-11
SKU00624,76,333.69,2024-01-16
SKU00625,9,142.86,2025-03-31
SKU00626,71,293.3,2025-05-24
SKU00627,28,293.8,2024-07-27
SKU00628,78,223.42,2024-06-06
SKU00629,95,418.22,2024-12-02
SKU00630,52,133.22,2024-08-28
SKU00631,83,224.87,2024-02-27
SKU00632,16,269.31,2024-10-31
SKU00633,69,332.15,2024-12-10
SKU00634,99,392.2,2025-10-03
SKU00635,12,198.01,2024-01-14
SKU00636,25,323.38,2024-12-24
SKU00637,52,76.15,2025-01-11
SKU00638,85,466.39,2024-08-30
SKU00639,100,192.15,2024-05-24
SKU00640,53,365.03,2025-02-18
SKU00641,23,11.15,2025-01-28
SKU00642,16,103.39,2025-09-06
SKU00643,57,244.05,2024-12-23
SKU00644,39,439.25,2025-07-29
SKU00645,53,264.1,2024-06-06
SKU00646,42,465.01,2025-11-04
SKU00647,58,242.41,2024-01-18
SKU00648,39,245.73,2025-07-14
SKU00649,14,60.75,2025-07-21
SKU00650,95,401.53,2024-12-12
SKU00651,5,124.24,2024-02-27
SKU00652,35,449.91,2024-06-03
SKU00653,87,455.5,2025-07-20
SKU00654,93,471.71,2025-05-01
SKU00655,75,260.6,2025-06-14
SKU00656,18,338.87,2025-05-01
SKU00657,76,389.48,2024-05-30
SKU00658,9,66.38,2024-12-24
SKU00659,74,300.88,2025-01-02
SKU00660,58,18.11,2025-09-11
SKU00661,17,249.29,2024-02-16
SKU00662,7,78.27,2024-07-25
SKU00663,46,92.28,2025-03-25
SKU00664,13,183.16,2025-04-27
SKU00665,40,216.79,2025-10-01
SKU00666,42,311.96,2025-07-23
SKU00667,9,38.14,2024-05-22
SKU00668,50,252.34,2025-02-03
SKU00669,27,92.13,2024-04-06
SKU00670,66,287.41,2024-02-16
SKU00671,5,319.06,2024-07-09
SKU00672,29,278.8,2024-05-19
SKU00673,37,369.41,2025-09-06
SKU00674,38,168.47,2024-08-18
SKU00675,83,382.79,2024-12-05
SKU00676,8,216.95,2025-05-05
SKU00677,65,242.61,2024-02-18
SKU00678,86,324.4,2025-09-15
SKU00679,17,10.16,2025-03-28
SKU00680,71,327.34,2024-11-11
SKU00681,89,309.67,2024-11-17
SKU00682,45,155.61,2024-03-27
SKU00683,4,43.81,2025-04-18
SKU00684,36,46.38,2024-10-08
SKU00685,70,461.69,2024-03-14
SKU00686,31,344.95,2025-03-28
SKU00687,19,64.42,2024-02-16
SKU00688,61,179.0,2025-08-10
SKU00689,54,296.65,2024-04-05
SKU00690,39,417.95,2024-01-31
SKU00691,91,22.79,2025-06-17
SKU00692,74,119.08,2024-01-17
SKU00693,90,444.98,2024-07-30
SKU00694,19,5.57,2025-10-21
SKU00695,39,101.5,2024-08-22
SKU00696,67,479.55,2025-01-26
SKU00697,45,307.09,2024-12-19
SKU00698,13,131.57,2024-10-31
SKU00699,92,34.43,2025-08-21
SKU00700,58,15.07,2025-07-03
SKU00701,20,123.13,2025-07-18
SKU00702,92,440.86,2025-06-23
SKU00703,72,208.54,2025-08-11
SKU00704,61,360.45,2025-05-23
SKU00705,39,459.22,2025-01-29
SKU00706,1,204.61,2025-03-06
SKU00707,3,96.45,2025-11-15
SKU00708,77,259.04,2025-07-15
SKU00709,92,454.13,2024-06-25
SKU00710,62,402.38,2025-02-09
SKU00711,63,33.85,2024-10-27
SKU00712,25,346.59,2025-03-20
SKU00713,56,286.38,2024-05-06
SKU00714,33,453.82,2024-12-14
SKU00715,38,62.12,2024-01-21
SKU00716,6,267.48,2025-02-23
SKU00717,58,439.85,2024-05-31
SKU00718,44,205.6,2024-06-08
SKU00719,45,241.52,2025-04-24
SKU00720,32,36.16,2025-03-18
SKU00721,45,139.79,2024-04-05
SKU00722,61,162.93,2024-12-17
SKU00723,47,472.62,2024-03-15
SKU00724,21,142.05,2025-08-16
SKU00725,80,230.97,2025-10-01
SKU00726,85,335.98,2024-12-24
SKU00727,75,81.93,2024-05-12
SKU00728,36,243.73,2025-02-03
SKU00729,99,369.53,2024-05-18
SKU00730,19,433.56,2024-09-02
SKU00731,20,313.5,2024-10-17
SKU00732,57,334.86,2024-04-21
SKU00733,18,64.02,2024-06-18
SKU00734,47,472.94,2025-08-21
